instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_new,weekday_new,weathersit_new,temp_cat,hr_cat
1,2011-01-01,1,0,1,0,0,6,0,1,10,14,81,0,3,13,16,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
2,2011-01-01,1,0,1,1,0,6,0,1,9,14,80,0,8,32,40,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
3,2011-01-01,1,0,1,2,0,6,0,1,9,14,80,0,5,27,32,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
4,2011-01-01,1,0,1,3,0,6,0,1,10,14,75,0,3,10,13,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
5,2011-01-01,1,0,1,4,0,6,0,1,10,14,75,0,0,1,1,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
6,2011-01-01,1,0,1,5,0,6,0,2,10,13,75,6,0,1,1,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold,Morning
7,2011-01-01,1,0,1,6,0,6,0,1,9,14,80,0,2,0,2,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
8,2011-01-01,1,0,1,7,0,6,0,1,8,13,86,0,1,2,3,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
9,2011-01-01,1,0,1,8,0,6,0,1,10,14,75,0,1,7,8,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
10,2011-01-01,1,0,1,9,0,6,0,1,13,17,76,0,8,6,14,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Morning
11,2011-01-01,1,0,1,10,0,6,0,1,16,20,76,17,12,24,36,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Morning
12,2011-01-01,1,0,1,11,0,6,0,1,15,17,81,19,26,30,56,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Morning
13,2011-01-01,1,0,1,12,0,6,0,1,17,21,77,19,29,55,84,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Noon
14,2011-01-01,1,0,1,13,0,6,0,2,19,23,72,20,47,47,94,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Noon
15,2011-01-01,1,0,1,14,0,6,0,2,19,23,72,19,35,71,106,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Noon
16,2011-01-01,1,0,1,15,0,6,0,2,18,22,77,20,40,70,110,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Noon
17,2011-01-01,1,0,1,16,0,6,0,2,17,21,82,20,41,52,93,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Afternoon
18,2011-01-01,1,0,1,17,0,6,0,2,18,22,82,19,15,52,67,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Afternoon
19,2011-01-01,1,0,1,18,0,6,0,3,17,21,88,17,9,26,35,Spring,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cool,Afternoon
20,2011-01-01,1,0,1,19,0,6,0,3,17,21,88,17,6,31,37,Spring,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cool,Evening
21,2011-01-01,1,0,1,20,0,6,0,2,16,20,87,17,11,25,36,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Evening
22,2011-01-01,1,0,1,21,0,6,0,2,16,20,87,13,3,31,34,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Evening
23,2011-01-01,1,0,1,22,0,6,0,2,16,20,94,15,11,17,28,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Evening
24,2011-01-01,1,0,1,23,0,6,0,2,19,23,88,20,15,24,39,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Night
25,2011-01-02,1,0,1,0,0,0,0,2,19,23,88,20,4,13,17,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Night
26,2011-01-02,1,0,1,1,0,0,0,2,18,22,94,17,1,16,17,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Night
27,2011-01-02,1,0,1,2,0,0,0,2,17,21,100,19,1,8,9,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Night
28,2011-01-02,1,0,1,3,0,0,0,2,19,23,94,13,2,4,6,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Night
29,2011-01-02,1,0,1,4,0,0,0,2,19,23,94,13,2,1,3,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Night
30,2011-01-02,1,0,1,6,0,0,0,3,17,21,77,20,0,2,2,Spring,Sunday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cool,Morning
31,2011-01-02,1,0,1,7,0,0,0,2,16,20,76,13,0,1,1,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Morning
32,2011-01-02,1,0,1,8,0,0,0,3,16,20,71,15,0,8,8,Spring,Sunday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cool,Morning
33,2011-01-02,1,0,1,9,0,0,0,2,16,20,76,15,1,19,20,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Morning
34,2011-01-02,1,0,1,10,0,0,0,2,15,17,81,15,7,46,53,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Morning
35,2011-01-02,1,0,1,11,0,0,0,2,15,17,71,17,16,54,70,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Morning
36,2011-01-02,1,0,1,12,0,0,0,2,15,17,66,20,20,73,93,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Noon
37,2011-01-02,1,0,1,13,0,0,0,2,15,17,66,9,11,64,75,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Noon
38,2011-01-02,1,0,1,14,0,0,0,3,15,17,76,13,4,55,59,Spring,Sunday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cool,Noon
39,2011-01-02,1,0,1,15,0,0,0,3,14,17,81,11,19,55,74,Spring,Sunday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cool,Noon
40,2011-01-02,1,0,1,16,0,0,0,3,14,17,71,11,9,67,76,Spring,Sunday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cool,Afternoon
41,2011-01-02,1,0,1,17,0,0,0,1,14,17,57,13,7,58,65,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Afternoon
42,2011-01-02,1,0,1,18,0,0,0,2,15,17,46,22,10,43,53,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool,Afternoon
43,2011-01-02,1,0,1,19,0,0,0,1,13,14,42,30,1,29,30,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Evening
44,2011-01-02,1,0,1,20,0,0,0,1,12,14,39,24,5,17,22,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Evening
45,2011-01-02,1,0,1,21,0,0,0,1,11,11,44,22,11,20,31,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Evening
46,2011-01-02,1,0,1,22,0,0,0,1,10,11,44,20,0,9,9,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Evening
47,2011-01-02,1,0,1,23,0,0,0,1,9,11,47,11,0,8,8,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
48,2011-01-03,1,0,1,0,0,1,1,1,9,10,44,24,0,5,5,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
49,2011-01-03,1,0,1,1,0,1,1,1,8,8,44,28,0,2,2,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
50,2011-01-03,1,0,1,4,0,1,1,1,7,7,47,26,0,1,1,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Night
51,2011-01-03,1,0,1,5,0,1,1,1,7,7,47,19,0,3,3,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
52,2011-01-03,1,0,1,6,0,1,1,1,6,5,50,26,0,30,30,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
53,2011-01-03,1,0,1,7,0,1,1,1,6,7,50,13,1,63,64,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
54,2011-01-03,1,0,1,8,0,1,1,1,6,6,50,19,1,153,154,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
55,2011-01-03,1,0,1,9,0,1,1,1,7,7,43,26,7,81,88,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold,Morning
