score,review
3,"Dari segi game play nya sudah ok lah, dari segi tingkat kesulitan nya lumayan berasa, tapi ada 1 aja kekurangannya, saya udah setel ke grafik rendah semua, tapi tetap terasa lag banget, fps nya drop. Tolong di optimalkan fps khusus grafik rendah ( Tecno spark 30 pro ) 🙏"
4,"loadingnya lama banget sampqi 9 jam padahal saya sudah bagus wifinya tapi saya tetap kasih bintang 4 karenq grafiknya bagus, banyak karakternya,dan skill setiap karakternya hampir sama kayak yang di anime nya saya tetap akui bagus gamenya karena kalau aku boeen langsung hilang gara gara main game ini"
1,"Masih sering terjadi bug loading screen, yang dimana hal ini sangat menggangu sehingga harus login ulang terlebih dahulu, selanjutnya sering terjadi layar yang tiba tiba jadi hitam, tapi untuk game nya tetap berjalan seperti biasa walaupun hanya bisa mendengarkan suara dan backsound nya. Tambahan setelah update kemarin, bukan nya makin sedikit malah makin bertambah bug nya"
3,game nya bagus pertandingannya bagus namun ada bug yang dimana setelah menyelesaikan tugas atau misinya terjadi bug yaitu gak bisa kembali ke lobby malah layar hitam sendirinya padahal hp tahan tahan aja dan lancar lancar aja
5,"Masih ada beberapa bug dimana terkadang bos menghilang/memiliki defense yang terlalu over,padahal sudah memakai atribut yang sesuai dan power character yang sudah jauh lebih kuat dari boss.dan untuk weapon type elemen api kenapa damagenya KECIL SEKALI 🤦🏻‍♂️"
2,"Penggunaan data terlalu boros untuk update di dalam game data yang di download cuman 1,7 yang habis 3 - 4 GB lebih gimana sih. Sama matiin aja fitur video pas download itu gak guna banget buat habisin Kouta aja kayaknya"
1,"untuk loading nya lama banget, terlebih lagi harus nunggu download data dulu baru bisa masuk lobby, dn pas masuk lobby pun diharuskan mengunduh file patch, padahal sinyal lancar, tapi lelet bgt kcepatan downlodnya. tolong diperbaiki lagi soal loading scene dan saat pengunduhan tambahan file patchnya , sepele tpi bikin mood hilang duluan"
3,"Uish, ini biar gak macet kapasitas hp nya yang harus di sesuaikan yah, ram ngaruh bgt, ku saranin pakek wifi yang kenceng, loading awal lama, nguras 1 GB lebih, habis mainin sekitar 1 jam, download data lagi Sampek 7 GB lebih...amboyyy"
4,Tolong di perbaiki lagi buat optimasi gameplay nya sering frame drop padahal kualitas grafik nya sudah di paling rendah bermain game sejenis malah grafik nya lebih bagus tidak sering terjadi lag yang mengganggu
3,"Sejujurnya ini game bagus namun masih banyak bug seperti black screen, stuck di loading, dan masih banyak lagi. Dari game nya juga lag sekali padahal grafik sudah rendah, tolong perbaiki game ini agar kami para player bisa lebih menikmati game ini"
2,"Sering terjadi bug ngestak saat selesai mengerjakan quest harus rilog terlebih dahulu baru bisa dimainkan kembali mohon di perbaiki dari segi permainan sudah sangat bagus semoga ditingkatkan lgi agar tidak terjadi leg"" atau pun bug"
1,"Game nya oke,tapi kebanyakan unduh data,sudah habis 12gb masih aja ada tambahan update tambahan update sampe bosen nunggu update an belum sempet main tapi suruh unduh data terus jadi males buka game ini,puasin lah customer ,apalah tiap buka game suruh unduh data terus,,,,rugi aku lee"
3,"Dari awal main saya di grafis paling tinggi, dan sekarang saya disetting grafis paling rendah, padahal belum ada 2 bulan saya main ini, dan sistemnya disuruh nurunin grafis lagi, entah karna sudah berjalan di 80% cerita atau gimana, tolong diperbaiki"
1,"Jangan update nya doang di besarin, kadang stuck loading, kadang baru masuk ke tempat musuh tiba2 balik ke lobby katanya ada masalah. Ini bug nya tolong dibenerin. Sumpah mengganggu"
4,"Loading buruk, tidak ada peningkatan, meanggu ritme permainan. Untuk tombol penargetan sangat buruk, angel camera sangat buruk, musuh yg harus nenjadi prioritas untuk kita bunuh jarang menjadi target otomatis, mode klik 2x juga sangat buruk bahkan beberapa objek tidak dapat diklik misalnya tower, totem, stone dan lainnya, player jadi kesulitan menargetan prioritas musuh nya. Angel camera juga sangat buruk sehingga banyak skill yg jadi miss untuk lawan, kendala ini sangat menggangu."
3,"tolong dioptimalkan lagi gamenya,sering stuck di loading screen, ini bukan masalah device nya ya tapi memang pure dari aplikasinya, untuk gamenya bagus dan ceritanya pun menarik, yang bikin ga nyaman ya itu stuck loading screen nya, bikin males. (device poco f4 snapdragon 870)"
2,"Secara Event, gacha, story bagus banget, akan tetapi untuk pengalaman gameplay kurang memuaskan hp sering banget freeze dan lag saat main,apalagi saat musuh banyak walaupun jaringan ok😪 ,tolong perbaiki ya Netmarble, lebih optimal"
3,"sesuai dengan alur cerita anime nya ,cuma dari faktor jaringan h ilang sedikit loading nya lama udah kaya kaset rusak, masih gak stabil meskipun banyak update nya, sering terjadi bug , harus login ulang , cape dan tolong benerin bug bug nya ,"
1,Padahal ini game menarik dan bagus apalagi cerita dan gamenya sama-sama bagus mengikuti cerita dari animenya cuman yang jadi permasalahannya adalah saat loading nya lama banget cuy sumpah harus nunggu sekitar 15menit-25menit baru klar tuh loadingnya apalagi pas waktu dowload lama banget padahal sinyal wifi bagus banget buat dowload yang lain. Segitu aja sih mungkin semoga kedepannya diperbaiki untuk loading pas masuknya lama banget semoga makin cepet kedepannya developer tolong
1,"salah satu game yang kusuka, grafis oke, cerita oke, hanya saja yang menjadi kekurangannya untuk loading nya terkadang lama, mungkin bisa di fix utk persoalan loading yg lama untuk game developer, semangat💪 edited : karena selama di hp aku lancar2 aja, jadi b5 dah edit lagi: stuck loading jadi bintang 1 aja"
1,gamenya bagus jalan cerita dan fiturnya seru TAPI.... BUGnya banyak banget . awal download di IOS parah banget bug nya sering force close sekarang pindah ke andro juga ada bugnya stuck di loading.. saran lebih mending perbaikan BUG dari pada penambahan karakter .
5,"Saran: tidak semua setingan ""rendah"" Akan meringankan beban game tapi malah sebaliknya, jadi coba kalian berexperiment dalam grafis sesuai kapasitas, contoh: jika resolusi kalian rendah akan membuat game bertekstur kasar yang mana mesin(GPU/CPU) malah bekerja lebih keras, tapi setingan saran dari saya biasanya hanya terdapat pada game triple A Mobile Catatan:saya menggunakan hp redmi 14C 6/128 setingan paling pas untuk hp ini itu: resolusi,kualitas karakter, field sangat tinggi & 60 fps"
3,"Resourcenya sangat terbatas jika sudah menyelesaikan story sehingga sangat susah untuk mengembangkan hero dan karakter lainnya, ini tolong diperbaiki karena hampir tidak ada tujuan jika cerita selesai, keterbatasan resource masalah terbesar dalam permainan RPG seperti ini"
2,"ini game dari pertama rilis bug stuck loading bug kadang kagak bisa disentuh, bug skip story langsung blank hitam layar lah, kenapa dari pertama rilis bug inu sampai sekarang masih ada dah, aneh banget, pantesan aja game ini bintang nya kagak nyampe nyampe bintang 4, bug kagak di fix fix"
4,"Tolong diperbaiki gamenya, stuck loading, black screen, game error sering terjadi dalam permainan, sekelas netmarble tapi abai sekali. Game dgn penggunaan data dan penyimpanan yg besar tapi banyak bug nya, ah kek manaaaaa"
5,"(android user) males banget tiap login selalu harus ganti settingan controller dari gamepad ke touchscreen, tiap balik ke menu utama dari menu apapun selalu ada jeda loading 2detikan. harusnya jadi game bagus, malah jadi game bagong. sudahlah, auto uninstall. bye"
1,"Cara main nya gmna sih? Saya kok stuck di tutorial awal tapi gak bisa di mainkan. Cuma tertulis stick kiri untuk menggerakan karakter tapi tidak bisa di gerakin. Datanya korup,bentar2 relog. Settingan udah paling rendah tetep aja delay."
