,name,price,rating,colors,size,gender,timestamp
0,shirt 2,102.15,3.9,3,M,Women,2025-06-03 16:21:40.950941
1,Hoodie 3,496.88,4.8,3,L,Unisex,2025-06-03 16:21:40.950941
2,Pants 4,467.31,3.3,3,XL,Men,2025-06-03 16:21:40.950941
3,Outerwear 5,321.59,3.5,3,XXL,Women,2025-06-03 16:21:40.950941
4,Jacket 6,153.37,3.3,3,S,Unisex,2025-06-03 16:21:40.950941
5,Crewneck 7,430.75,4.3,3,M,Men,2025-06-03 16:21:40.950941
6,shirt 8,487.66,3.1,3,L,Women,2025-06-03 16:21:40.950941
7,Hoodie 9,248.26,3.2,3,XL,Unisex,2025-06-03 16:21:40.950941
8,Pants 10,193.76,4.2,3,XXL,Men,2025-06-03 16:21:40.950941
9,Jacket 12,532.99,3.9,3,M,Unisex,2025-06-03 16:21:40.950941
10,Crewneck 13,340.45,3.2,3,L,Men,2025-06-03 16:21:40.950941
11,shirt 14,203.05,3.8,3,XL,Women,2025-06-03 16:21:40.950941
12,Hoodie 15,136.51,3.6,3,XXL,Unisex,2025-06-03 16:21:40.950941
13,Outerwear 17,52.60,3.8,3,M,Women,2025-06-03 16:21:40.950941
14,Jacket 18,343.75,3.8,3,L,Unisex,2025-06-03 16:21:40.950941
15,Crewneck 19,81.81,3.6,3,XL,Men,2025-06-03 16:21:40.950941
16,shirt 20,82.85,3.4,3,XXL,Women,2025-06-03 16:21:40.950941
