instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_new,weekday_new,weathersit_new,temp_cat
1,2011-01-01,1,0,1,0,6,0,2,14,18,81,11,331,654,985,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
2,2011-01-02,1,0,1,0,0,0,2,15,18,70,17,131,670,801,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
3,2011-01-03,1,0,1,0,1,1,1,8,9,44,17,120,1229,1349,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
4,2011-01-04,1,0,1,0,2,1,1,8,11,59,11,108,1454,1562,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
5,2011-01-05,1,0,1,0,3,1,1,9,11,44,13,82,1518,1600,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
6,2011-01-06,1,0,1,0,4,1,1,8,12,52,6,88,1518,1606,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
7,2011-01-07,1,0,1,0,5,1,2,8,10,50,11,148,1362,1510,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
8,2011-01-08,1,0,1,0,6,0,2,7,8,54,18,68,891,959,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
9,2011-01-09,1,0,1,0,0,0,1,6,6,43,24,54,768,822,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
10,2011-01-10,1,0,1,0,1,1,1,6,8,48,15,41,1280,1321,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
11,2011-01-11,1,0,1,0,2,1,2,7,10,69,8,43,1220,1263,Spring,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
12,2011-01-12,1,0,1,0,3,1,1,7,8,60,20,25,1137,1162,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
13,2011-01-13,1,0,1,0,4,1,1,7,8,47,20,38,1368,1406,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
14,2011-01-14,1,0,1,0,5,1,1,7,9,54,8,54,1367,1421,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
15,2011-01-15,1,0,1,0,6,0,2,10,12,50,11,222,1026,1248,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
16,2011-01-16,1,0,1,0,0,0,1,9,12,48,13,251,953,1204,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
17,2011-01-17,1,0,1,1,1,0,2,7,9,54,13,117,883,1000,Spring,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
18,2011-01-18,1,0,1,0,2,1,2,9,12,86,10,9,674,683,Spring,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
19,2011-01-19,1,0,1,0,3,1,2,12,15,74,14,78,1572,1650,Spring,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
20,2011-01-20,1,0,1,0,4,1,2,11,13,54,13,83,1844,1927,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
21,2011-01-21,1,0,1,0,5,1,1,7,8,46,24,75,1468,1543,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
22,2011-01-22,1,0,1,0,6,0,1,2,4,40,12,93,888,981,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
23,2011-01-23,1,0,1,0,0,0,1,4,5,44,17,150,836,986,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
24,2011-01-24,1,0,1,0,1,1,1,4,6,49,11,86,1330,1416,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
25,2011-01-25,1,0,1,0,2,1,2,9,12,62,9,186,1799,1985,Spring,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
26,2011-01-26,1,0,1,0,3,1,3,9,10,86,20,34,472,506,Spring,Wednesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cold
27,2011-01-27,1,0,1,0,4,1,1,8,11,69,8,15,416,431,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
28,2011-01-28,1,0,1,0,5,1,2,8,11,79,8,38,1129,1167,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
29,2011-01-29,1,0,1,0,6,0,1,8,11,65,10,123,975,1098,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
30,2011-01-30,1,0,1,0,0,0,1,9,13,72,5,140,956,1096,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
31,2011-01-31,1,0,1,0,1,1,2,7,9,60,13,42,1459,1501,Spring,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
32,2011-02-01,1,0,2,0,2,1,2,8,12,83,4,47,1313,1360,Spring,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
33,2011-02-02,1,0,2,0,3,1,2,11,13,78,18,72,1454,1526,Spring,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
34,2011-02-03,1,0,2,0,4,1,1,8,9,44,19,61,1489,1550,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
35,2011-02-04,1,0,2,0,5,1,2,9,11,59,9,88,1620,1708,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
36,2011-02-05,1,0,2,0,6,0,2,10,12,93,11,100,905,1005,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
37,2011-02-06,1,0,2,0,0,0,1,12,15,57,10,354,1269,1623,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
