instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_new,weekday_new,weathersit_new
1,2011-01-01,1,0,1,0,0,6,0,1,10,14,81,0,3,13,16,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2,2011-01-01,1,0,1,1,0,6,0,1,9,14,80,0,8,32,40,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
3,2011-01-01,1,0,1,2,0,6,0,1,9,14,80,0,5,27,32,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
4,2011-01-01,1,0,1,3,0,6,0,1,10,14,75,0,3,10,13,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
5,2011-01-01,1,0,1,4,0,6,0,1,10,14,75,0,0,1,1,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
6,2011-01-01,1,0,1,5,0,6,0,2,10,13,75,6,0,1,1,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
7,2011-01-01,1,0,1,6,0,6,0,1,9,14,80,0,2,0,2,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
8,2011-01-01,1,0,1,7,0,6,0,1,8,13,86,0,1,2,3,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
9,2011-01-01,1,0,1,8,0,6,0,1,10,14,75,0,1,7,8,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
10,2011-01-01,1,0,1,9,0,6,0,1,13,17,76,0,8,6,14,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
11,2011-01-01,1,0,1,10,0,6,0,1,16,20,76,17,12,24,36,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
12,2011-01-01,1,0,1,11,0,6,0,1,15,17,81,19,26,30,56,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
13,2011-01-01,1,0,1,12,0,6,0,1,17,21,77,19,29,55,84,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
14,2011-01-01,1,0,1,13,0,6,0,2,19,23,72,20,47,47,94,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
15,2011-01-01,1,0,1,14,0,6,0,2,19,23,72,19,35,71,106,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
