,Year_Birth,Education,Income,NumWebVisitsMonth,Total_Day,Total_Cmp,Total_Purchase,Total_Child,Cluster
0,1957,Graduation,58138.0,7,663,1.0,25.0,0.0,2
1,1954,Graduation,46344.0,5,113,0.0,6.0,2.0,2
2,1965,Graduation,71613.0,4,312,0.0,21.0,0.0,3
3,1984,Graduation,26646.0,6,139,0.0,8.0,1.0,0
4,1981,PhD,58293.0,5,161,0.0,19.0,1.0,2
5,1967,Master,62513.0,6,293,0.0,22.0,1.0,3
6,1971,Graduation,55635.0,6,593,0.0,21.0,1.0,2
7,1985,PhD,33454.0,8,417,0.0,10.0,1.0,1
8,1974,PhD,30351.0,9,388,1.0,6.0,1.0,1
9,1976,Basic,7500.0,8,593,0.0,6.0,0.0,0
10,1959,Graduation,63033.0,2,226,0.0,16.0,0.0,3
11,1952,Master,59354.0,6,226,0.0,15.0,2.0,3
12,1987,Graduation,17323.0,8,627,0.0,5.0,0.0,0
13,1946,PhD,82800.0,3,582,3.0,26.0,0.0,4
14,1980,Graduation,41850.0,8,552,0.0,9.0,2.0,1
15,1946,Graduation,37760.0,7,667,0.0,13.0,0.0,1
16,1949,Master,76995.0,5,458,1.0,26.0,1.0,4
17,1985,2n Cycle,33812.0,6,603,0.0,8.0,1.0,1
18,1982,Graduation,37040.0,8,690,0.0,12.0,0.0,1
19,1949,PhD,58607.0,8,553,1.0,17.0,1.0,2
20,1954,PhD,65324.0,4,169,0.0,20.0,1.0,3
21,1951,Graduation,40689.0,8,468,0.0,20.0,1.0,1
22,1969,Graduation,18589.0,7,543,0.0,8.0,0.0,0
23,1976,Graduation,53359.0,7,398,0.0,14.0,2.0,2
24,1989,Graduation,38360.0,3,394,0.0,9.0,1.0,1
25,1965,PhD,84618.0,2,219,1.0,26.0,0.0,4
26,1989,Master,10979.0,5,38,0.0,8.0,0.0,0
27,1963,Master,38620.0,3,414,0.0,11.0,0.0,1
28,1970,Graduation,40548.0,5,627,1.0,9.0,1.0,1
29,1952,PhD,46610.0,6,608,1.0,17.0,2.0,2
30,1946,Master,68657.0,7,494,0.0,18.0,0.0,3
31,1951,Master,49389.0,7,304,0.0,6.0,2.0,2
32,1970,PhD,67353.0,2,180,0.0,28.0,1.0,3
33,1976,2n Cycle,23718.0,7,300,0.0,9.0,1.0,0
34,1973,Graduation,42429.0,5,138,0.0,7.0,1.0,1
35,1943,PhD,48948.0,6,513,2.0,24.0,0.0,2
36,1980,Graduation,80011.0,4,426,0.0,21.0,1.0,4
37,1985,Master,20559.0,8,474,0.0,7.0,1.0,0
38,1957,Graduation,21994.0,5,552,0.0,4.0,1.0,0
39,1975,Master,7500.0,5,270,0.0,8.0,1.0,0
40,1976,Graduation,79941.0,1,1,0.0,16.0,0.0,4
41,1996,2n Cycle,7500.0,9,597,1.0,10.0,0.0,0
42,1968,Graduation,41728.0,10,401,0.0,5.0,1.0,1
43,1954,PhD,72550.0,8,598,0.0,28.0,2.0,3
44,1957,Graduation,65486.0,2,48,0.0,17.0,1.0,3
45,1964,Master,79143.0,3,687,0.0,29.0,0.0,4
46,1977,Graduation,35790.0,7,543,0.0,7.0,1.0,1
47,1977,Graduation,82582.0,1,22,3.0,21.0,0.0,4
48,1978,Graduation,66373.0,3,382,0.0,23.0,2.0,3
49,1955,Master,82384.0,1,587,2.0,27.0,0.0,4
50,1966,Graduation,70287.0,3,453,1.0,21.0,0.0,3
51,1988,Graduation,27938.0,3,62,0.0,6.0,1.0,0
52,1968,PhD,55954.0,7,118,0.0,19.0,1.0,2
53,1982,Master,75777.0,1,360,3.0,21.0,0.0,4
54,1975,Graduation,66653.0,3,660,0.0,22.0,2.0,3
55,1952,Graduation,61823.0,7,496,0.0,24.0,1.0,3
56,1951,PhD,67680.0,5,383,0.0,19.0,1.0,3
57,1948,Graduation,70666.0,4,205,0.0,16.0,0.0,3
58,1971,Graduation,25721.0,7,404,1.0,5.0,1.0,0
59,1967,Graduation,32474.0,7,49,0.0,4.0,2.0,1
60,1979,2n Cycle,88194.0,5,102,3.0,32.0,1.0,4
61,1958,Graduation,69096.0,4,275,0.0,18.0,1.0,3
62,1970,Graduation,74854.0,5,447,0.0,19.0,3.0,4
63,1954,Master,66991.0,3,656,0.0,21.0,0.0,3
